Character,Gender,Mentions,First Appearance
Harry Potter,male,464,ONE
Hagrid,male,107,ONE
Hermione Granger,female,104,EIGHT
Dudley,male,67,ONE
Dursleys,male,66,ONE
Snape,male,65,SEVEN
Professor Quirrell,male,42,SEVEN
Uncle Vernon,male,39,TWO
Neville,male,39,SIX
Draco Malfoy,male,39,SIX
Professor Dumbledore,male,35,ONE
Oliver Wood,male,22,NINE
Potter,unknown,20,ONE
Ollivander,male,19,FIVE
Madam Pomfrey,male,19,FIVE
Aunt Petunia,male,16,TWO
Norris,unknown,16,EIGHT
Filch,male,15,SEVEN
Sorcerer,unknown,14,THIRTEEN
Voldemort,male,13,ONE
Figg,male,13,TWO
Charlie,male,10,SIX
Granger,female,7,TEN
Norbert,male,7,FOURTEEN
King,male,6,FIVE
Flamel,male,6,TWELVE
Stone,male,6,THIRTEEN
Seamus Finnigan,male,6,EIGHT
Lee Jordan,male,5,SIX
Percy,male,5,SIX
Fred,male,5,SEVEN
Weasley,male,5,NINE
Bane,male,5,FIFTEEN
Devil,male,5,SIXTEEN
